link,section,date,title,nb_up,nb_down,nb_comments
https://9gag.com/gag/aPZdNYV,Funny,2022-06-04 17:58:41.824637,"The ""upper class millennial woman living in the Midwest or the South"" Starter Pack",10,19,6
https://9gag.com/gag/a613v1q,Random,2022-06-04 18:58:41.824637,There is no more common ground,19,106,46
https://9gag.com/gag/angWp7q,Ask 9GAG,2022-06-04 18:58:41.824637,If you'd like to view your public stats let me know. More metrics to come.,3,8,16
https://9gag.com/gag/angWpO5,Meme,2022-06-04 18:58:41.824637,There is no excuse in the world valid enough to justify being a nazi and people should not be allowed to go in public and openly be affiliated with them. Situations like this are where the tolerance paradox comes right into play. Society is better off without them.,30,47,47
https://9gag.com/gag/a41re6A,Funny,2022-06-04 18:58:41.824637,Italian View,10,20,3
https://9gag.com/gag/apgjyb9,Funny,2022-06-04 19:58:41.824637,"The ""White Dad Light-skin"" Starter pack",10,35,7
https://9gag.com/gag/a31pOXN,Funny,2022-06-03 23:58:41.824637,So Muri©unts and Eurogollums females don't go to beauty salon for skin care regularly? My gf goes 3 times/week and you call yourselves rich countries?,17,105,30
https://9gag.com/gag/aggZPNr,Funny,2022-06-04 13:58:41.824637,Now you'll become Korben Dallas.,116,20,13
https://9gag.com/gag/a51y87N,Awesome,2022-06-04 14:58:41.824637,I made something nice today,20,27,12
https://9gag.com/gag/aYrn2xO,Random,2022-06-04 14:58:41.824637,Good husband,34,64,20
https://9gag.com/gag/aZrVerV,Funny,2022-06-04 10:58:41.824637,It's all a conspiracy theory,351,65,54
https://9gag.com/gag/a51yYnq,Funny,2022-06-03 22:58:41.824637,Don’t know if this has been added yet but it’s from the target pride collection. Couldn’t read it at first,1,40,6
https://9gag.com/gag/aQXNj3q,Random,2022-06-03 22:58:41.824637,What the f**k?,13,39,9
https://9gag.com/gag/axBnmbW,Awesome,2022-06-02 22:58:41.824637,New Zealand Maori leader Rawiri Waititi ejected from parliament for not wearing a necktie said that enforcing a Western dress code was an attempt to suppress indigenous culture.,477,101,85
https://9gag.com/gag/aggZd8v,Warhammer,2022-06-02 22:58:41.824637,The path of love leads to dark corners,1600,120,131
https://9gag.com/gag/a81XXMV,Funny,2022-06-02 22:58:41.824637,And so….,32,40,24
https://9gag.com/gag/aDDNDz9,Awesome,2022-05-31 22:58:41.824637,"Mara carfagna , Italian minister of south and territorial cohesion and former show girl",16,23,14
https://9gag.com/gag/aegP1vq,Random,2022-06-01 22:58:41.824637,Agree?,132,36,32
https://9gag.com/gag/aYrnON0,Random,2022-06-01 22:58:41.824637,Swedish Hospitality,9,39,6
https://9gag.com/gag/abgmO58,Funny,2022-06-01 22:58:41.824637,It is wednesday all dudes,11,58,6
https://9gag.com/gag/a31pAdv,Teens Can Relate,2022-06-01 22:58:41.824637,Brrrrrrrrruuuuuuuuuuuuhhhhhhh,32,7,6
https://9gag.com/gag/a11q7yv,Funny,2022-05-31 22:58:41.824637,"Us Liberals ain't racist, we're just judging you on your skin colour!",27,37,33
https://9gag.com/gag/a0ZWorq,Relationship,2022-05-31 22:58:41.824637,That's what relationships are for,370,62,119
https://9gag.com/gag/a81XAZp,Funny,2022-05-31 22:58:41.824637,Barcelona joke,7,24,4
https://9gag.com/gag/avAXzYn,Random,2022-05-30 22:58:41.824637,MAKE. SOME. NOISE.,30,121,41
https://9gag.com/gag/ay9Veyr,Funny,2022-05-30 22:58:41.824637,Its the last time,33,43,19
https://9gag.com/gag/aOQjLrD,Relationship,2022-05-26 00:00:00.000000,When a girl is 5 years younger,77,144,90
https://9gag.com/gag/ajgdeKQ,Funny,2022-05-26 00:00:00.000000,Bill Clinton and Monica Lewinsky (November 1995),39,46,20
https://9gag.com/gag/aKmLoW3,Random,2022-05-26 00:00:00.000000,Please dont go to school wearing like that,75,26,39
https://9gag.com/gag/a81nxbO,Funny,2022-05-26 00:00:00.000000,I have no words,82,43,21
https://9gag.com/gag/aE8QmzM,Latest News,2022-05-26 00:00:00.000000,Translation: Those mostly Hispanic kids ain't as important as black criminals like George Floyd was!,26,80,33
https://9gag.com/gag/a61xYL8,Funny,2022-05-26 00:00:00.000000,It all began with?,26,20,7
https://9gag.com/gag/aegd7qW,Latest News,2022-05-25 00:00:00.000000,China cancels tariffs of Russian coal and Chinese imports on Russian coal is historical high. China is ready to build resources alliance with Rusdia. Murica and its pets are not happy with it,15,151,16
https://9gag.com/gag/angdrZn,Funny,2022-05-25 00:00:00.000000,I'm still struggled with Paxos algorithm,16,6,11
https://9gag.com/gag/aKmLKzZ,Funny,2022-05-25 00:00:00.000000,Living on a prayer,23,6,13
https://9gag.com/gag/aVxdVpO,Funny,2022-05-25 00:00:00.000000,Guy accidentally becomes face of anti ice cream movement,1,62,5
https://9gag.com/gag/azeBYNB,Awesome,2022-05-25 00:00:00.000000,Former U.S. president Barack Obama's statement regarding the Uvalde elementary school shooting that killed 18 children.,26,48,37
https://9gag.com/gag/aPZprGn,Funny,2022-05-25 00:00:00.000000,I am so sorry i dont know what to say,8,100,77
https://9gag.com/gag/adgdRXV,Awesome,2022-05-25 00:00:00.000000,Dad Writes Letters to Daughter and gifts them to her in his final days,68,55,10
https://9gag.com/gag/aVxdRed,Savage,2022-05-25 00:00:00.000000,Just remember when @9gag posted this,3100,96,175
