link,section,date,title,nb_up,nb_down,nb_comments
https://9gag.com/gag/aAGNnY0,Random,2022-06-04 00:00:00.000000,Feels good,8400,310,481
https://9gag.com/gag/aZroyLW,Latest News,2022-06-08 11:52:23.325707,Berserk raising from the dead,6500,320,638
https://9gag.com/gag/aZroypQ,Funny,2022-06-07 11:52:23.325707,Emma watson un speech,11000,541,906
https://9gag.com/gag/aWgPO42,Funny,2022-06-05 00:00:00.000000,Pc is missing,7200,122,206
https://9gag.com/gag/aZrVGnp,Relationship,2022-06-04 00:00:00.000000,I dont know how,2400,106,75
https://9gag.com/gag/aggZP6n,Latest News,2022-06-04 00:00:00.000000,Hahaha don’t worries,2900,204,59
https://9gag.com/gag/amgKNGv,Random,2022-06-05 00:00:00.000000,Tiananmen MASSACRE Tankman,2100,61,89
https://9gag.com/gag/aRr960q,Star Wars,2022-06-05 00:00:00.000000,You hate Reva because you are virgin and a racist,25,201,53
https://9gag.com/gag/agg6rLg,Funny,2022-06-05 00:00:00.000000,And when he turns back around kiss him on the lips.,98,31,6
https://9gag.com/gag/a51vpbV,Funny,2022-06-05 00:00:00.000000,"Oh, yes.. please. Someone 3d this awesome man.",12,9,9
https://9gag.com/gag/a91ZjrZ,WTF,2022-06-05 00:00:00.000000,Do it coward,148,203,18
https://9gag.com/gag/arn91Gy,WTF,2022-06-05 00:00:00.000000,Well... He's right,42,33,24
https://9gag.com/gag/aNP8mKb,Random,2022-06-05 00:00:00.000000,Hello ladies plz get yourself a man who can do both😍,5,196,31
https://9gag.com/gag/aegPXXQ,Random,2022-06-05 00:00:00.000000,I'm tired of this fan shit😡 they surround me wherever i go😡 it's quite of a task when you are a famous personality 😡 not everyone can handle the fame😡,2,179,32
https://9gag.com/gag/aegPoBQ,WTF,2022-06-04 00:00:00.000000,Do’nt,13,34,10
https://9gag.com/gag/aXrGD69,Funny,2022-06-04 00:00:00.000000,Furry with a shotgun,20,93,42
https://9gag.com/gag/aGzN34n,Movie & TV,2022-06-04 00:00:00.000000,Got a new tattoo.,26,37,23
https://9gag.com/gag/a41reOm,Movie & TV,2022-06-04 00:00:00.000000,"Oh yeah, it's morbin' time 😎",11,40,7
https://9gag.com/gag/avAXYKX,Funny,2022-06-04 00:00:00.000000,Kangaroos seem like real assholes,50,14,18
https://9gag.com/gag/aggZMb6,Funny,2022-06-04 00:00:00.000000,We’re looking at you America,547,65,15
https://9gag.com/gag/angWp7q,Ask 9GAG,2022-06-04 00:00:00.000000,If you'd like to view your public stats let me know. More metrics to come.,3,17,23
https://9gag.com/gag/axBnxBb,Meme,2022-06-04 00:00:00.000000,I wish...,33,34,7
https://9gag.com/gag/apgjWD8,Funny,2022-06-04 00:00:00.000000,A power only few can achieve...,156,59,23
https://9gag.com/gag/aXrGBGd,WTF,2022-06-04 00:00:00.000000,"Alright, first episode and its already...",18,46,9
https://9gag.com/gag/azeD0Kq,Comic & Webtoon,2022-06-04 00:00:00.000000,The chinese treatment for liberty fever,19,7,8
https://9gag.com/gag/aogqoPm,Gaming,2022-06-03 00:00:00.000000,"Strong, united, working 'til we fall... *whistling intensifies",33,22,9
https://9gag.com/gag/a91Nonj,Funny,2022-06-04 00:00:00.000000,"This is not ME, YOU ARE! (😭)",3,137,7
https://9gag.com/gag/a716xnw,Funny,2022-06-03 00:00:00.000000,Don't put your d*ick in crazy,596,104,44
https://9gag.com/gag/awzG2m1,WTF,2022-06-03 00:00:00.000000,Came across this gem today,114,33,35
https://9gag.com/gag/aXrG1Pb,Movie & TV,2022-06-03 00:00:00.000000,Morb deeznuts,15,47,4
https://9gag.com/gag/aggZwmq,Funny,2022-06-03 00:00:00.000000,Funeral in a Movie StarterPack,22,16,3
https://9gag.com/gag/aNP25DA,Funny,2022-06-03 00:00:00.000000,"""You haven't seen Morbius?"" starter pack",7,38,12
https://9gag.com/gag/a21jpvZ,WTF,2022-06-03 00:00:00.000000,Woman faints and falls into the gap between a moving train and the platform at the Independencia station near Buenos Aires and somehow survives without injuries,191,20,23
https://9gag.com/gag/a81XNGQ,Comic & Webtoon,2022-06-03 00:00:00.000000,That campaign took a strange turn,89,91,24
https://9gag.com/gag/aZrVKg3,Awesome,2022-06-03 00:00:00.000000,When fatigue is higher than hunger,6700,124,161
https://9gag.com/gag/avAX4Pb,Gaming,2022-06-03 00:00:00.000000,"Nobody saw that coming, not even on GeForce Leak",2900,235,438
https://9gag.com/gag/aZrVoB0,Funny,2022-06-03 00:00:00.000000,Forced diversity is real,698,92,14
https://9gag.com/gag/a716PZq,Random,2022-06-03 00:00:00.000000,Feed the fis........shit,604,18,15
https://9gag.com/gag/aAGNq19,WTF,2022-06-03 00:00:00.000000,"Average weight is 60-80 kgs. You have to lift it with your teeth, neck and waist",217,105,68
https://9gag.com/gag/aqGpBZv,Funny,2022-06-03 00:00:00.000000,I guess I downloaded the wrong remake,429,79,17
https://9gag.com/gag/a41rxnp,Funny,2022-06-02 00:00:00.000000,"9gag doesnt allow me to change my gender, asking me to wait 9 years to do. Is this related to the recent “pride” events?",11,48,22
https://9gag.com/gag/a11q1PD,Funny,2022-05-31 00:00:00.000000,Bring out the Next Stack !!!,6300,139,140
https://9gag.com/gag/arnrnOp,Funny,2022-05-31 00:00:00.000000,Good samaritans let pedestrians cross the street...,7200,415,277
https://9gag.com/gag/a21j13d,Funny,2022-05-31 00:00:00.000000,"In transformers (2007) , Sam screams in fear when he first encounters a transformer , this is because Sam is transphobic.",5900,223,119
https://9gag.com/gag/aNP2wKA,WTF,2022-05-31 00:00:00.000000,HUR DUR,5700,97,220
